Ligand,Affinity,Receptor
Ligand_0097.pdbqt,-3.282,6C12
Ligand_0150.pdbqt,-3.233,6C12
Ligand_0058.pdbqt,-3.211,6C12
Ligand_0073.pdbqt,-3.164,6C12
Ligand_0087.pdbqt,-3.122,6C12
Ligand_0030.pdbqt,-3.068,6C12
Ligand_0120.pdbqt,-2.983,6C12
Ligand_0096.pdbqt,-2.893,6C12
Ligand_0163.pdbqt,-2.876,6C12
Ligand_0095.pdbqt,-2.711,6C12
Ligand_0027.pdbqt,-2.703,6C12
Ligand_0029.pdbqt,-2.657,6C12
Ligand_0028.pdbqt,-2.587,6C12
Ligand_0024.pdbqt,-2.43,6C12
Ligand_0025.pdbqt,-2.422,6C12
Ligand_0035.pdbqt,-2.418,6C12
Ligand_0023.pdbqt,-1.992,6C12
Ligand_0162.pdbqt,-1.874,6C12
Ligand_0017.pdbqt,-0.3661,1Y8P
Ligand_0018.pdbqt,-0.3559,1Y8P
Ligand_0021.pdbqt,-0.3522,1Y8P
Ligand_0020.pdbqt,-0.3402,1Y8P
Ligand_0022.pdbqt,-0.3331,1Y8P
Ligand_0142.pdbqt,-0.3299,1Y8P
Ligand_0019.pdbqt,-0.325,1Y8P
Ligand_0203.pdbqt,-0.3167,1Y8P
Ligand_0158.pdbqt,-0.3083,1Y8P
Ligand_0016.pdbqt,-0.2863,1Y8P
Ligand_0015.pdbqt,-0.2798,1Y8P
Ligand_0244.pdbqt,-0.2731,1Y8P
Ligand_0223.pdbqt,-0.2709,1Y8P
Ligand_0149.pdbqt,-0.2675,1Y8P
Ligand_0122.pdbqt,-0.2671,1Y8P
Ligand_0228.pdbqt,-0.2655,1Y8P
Ligand_0072.pdbqt,-0.265,1Y8P
Ligand_0200.pdbqt,-0.264,1Y8P
Ligand_0115.pdbqt,-0.26,1Y8P
Ligand_0042.pdbqt,-0.2597,1Y8P
Ligand_0195.pdbqt,-0.2559,1Y8P
Ligand_0056.pdbqt,-0.2544,1Y8P
Ligand_0186.pdbqt,-0.2543,1Y8P
Ligand_0154.pdbqt,-0.2528,1Y8P
Ligand_0014.pdbqt,-0.2527,1Y8P
Ligand_0044.pdbqt,-0.2515,1Y8P
Ligand_0084.pdbqt,-0.2415,1Y8P
Ligand_0121.pdbqt,-0.2403,1Y8P
Ligand_0127.pdbqt,-0.2381,1Y8P
Ligand_0201.pdbqt,-0.2368,1Y8P
Ligand_0219.pdbqt,-0.2349,1Y8P
Ligand_0117.pdbqt,-0.2347,1Y8P
Ligand_0241.pdbqt,-0.2339,1Y8P
Ligand_0048.pdbqt,-0.2311,1Y8P
Ligand_0257.pdbqt,-0.2305,1Y8P
Ligand_0240.pdbqt,-0.2305,1Y8P
Ligand_0108.pdbqt,-0.2296,1Y8P
Ligand_0050.pdbqt,-0.2285,1Y8P
Ligand_0229.pdbqt,-0.2277,1Y8P
Ligand_0051.pdbqt,-0.2265,1Y8P
Ligand_0199.pdbqt,-0.2231,1Y8P
Ligand_0009.pdbqt,-0.2228,1Y8P
Ligand_0036.pdbqt,-0.2225,1Y8P
Ligand_0238.pdbqt,-0.2225,1Y8P
Ligand_0109.pdbqt,-0.2222,1Y8P
Ligand_0041.pdbqt,-0.222,1Y8P
Ligand_0249.pdbqt,-0.2217,1Y8P
Ligand_0010.pdbqt,-0.2207,1Y8P
Ligand_0182.pdbqt,-0.2198,1Y8P
Ligand_0053.pdbqt,-0.2197,1Y8P
Ligand_0082.pdbqt,-0.2193,1Y8P
Ligand_0193.pdbqt,-0.2187,1Y8P
Ligand_0188.pdbqt,-0.217,1Y8P
Ligand_0119.pdbqt,-0.2162,1Y8P
Ligand_0046.pdbqt,-0.2143,1Y8P
Ligand_0172.pdbqt,-0.2122,1Y8P
Ligand_0216.pdbqt,-0.2122,1Y8P
Ligand_0114.pdbqt,-0.2101,1Y8P
Ligand_0045.pdbqt,-0.21,1Y8P
Ligand_0183.pdbqt,-0.2097,1Y8P
Ligand_0211.pdbqt,-0.2096,1Y8P
Ligand_0139.pdbqt,-0.2073,1Y8P
Ligand_0250.pdbqt,-0.2058,1Y8P
Ligand_0253.pdbqt,-0.2042,1Y8P
Ligand_0155.pdbqt,-0.2036,1Y8P
Ligand_0176.pdbqt,-0.2031,1Y8P
Ligand_0078.pdbqt,-0.203,1Y8P
Ligand_0196.pdbqt,-0.2028,1Y8P
Ligand_0039.pdbqt,-0.2024,1Y8P
Ligand_0252.pdbqt,-0.2021,1Y8P
Ligand_0177.pdbqt,-0.2018,1Y8P
Ligand_0116.pdbqt,-0.2016,1Y8P
Ligand_0107.pdbqt,-0.2014,1Y8P
Ligand_0251.pdbqt,-0.2008,1Y8P
Ligand_0157.pdbqt,-0.2006,1Y8P
Ligand_0118.pdbqt,-0.2002,1Y8P
Ligand_0160.pdbqt,-0.1998,1Y8P
Ligand_0171.pdbqt,-0.198,1Y8P
Ligand_0156.pdbqt,-0.1967,1Y8P
Ligand_0043.pdbqt,-0.1959,1Y8P
Ligand_0069.pdbqt,-0.1955,1Y8P
Ligand_0189.pdbqt,-0.1952,1Y8P
Ligand_0106.pdbqt,-0.1942,1Y8P
Ligand_0105.pdbqt,-0.1941,1Y8P
Ligand_0245.pdbqt,-0.1941,1Y8P
Ligand_0068.pdbqt,-0.194,1Y8P
Ligand_0113.pdbqt,-0.194,1Y8P
Ligand_0152.pdbqt,-0.1936,1Y8P
Ligand_0147.pdbqt,-0.1933,1Y8P
Ligand_0071.pdbqt,-0.1926,1Y8P
Ligand_0070.pdbqt,-0.1918,1Y8P
Ligand_0123.pdbqt,-0.1906,1Y8P
Ligand_0103.pdbqt,-0.19,1Y8P
Ligand_0168.pdbqt,-0.1899,1Y8P
Ligand_0008.pdbqt,-0.1897,1Y8P
Ligand_0040.pdbqt,-0.1895,1Y8P
Ligand_0159.pdbqt,-0.1887,1Y8P
Ligand_0218.pdbqt,-0.1886,1Y8P
Ligand_0175.pdbqt,-0.1882,1Y8P
Ligand_0213.pdbqt,-0.1882,1Y8P
Ligand_0227.pdbqt,-0.1871,1Y8P
Ligand_0194.pdbqt,-0.1869,1Y8P
Ligand_0206.pdbqt,-0.1861,1Y8P
Ligand_0098.pdbqt,-0.1859,1Y8P
Ligand_0185.pdbqt,-0.1859,1Y8P
Ligand_0205.pdbqt,-0.1831,1Y8P
Ligand_0204.pdbqt,-0.1813,1Y8P
Ligand_0145.pdbqt,-0.1803,1Y8P
Ligand_0236.pdbqt,-0.1803,1Y8P
Ligand_0038.pdbqt,-0.1802,1Y8P
Ligand_0110.pdbqt,-0.1801,1Y8P
Ligand_0131.pdbqt,-0.1784,1Y8P
Ligand_0221.pdbqt,-0.1782,1Y8P
Ligand_0146.pdbqt,-0.1778,1Y8P
Ligand_0208.pdbqt,-0.1774,1Y8P
Ligand_0217.pdbqt,-0.1772,1Y8P
Ligand_0052.pdbqt,-0.1765,1Y8P
Ligand_0166.pdbqt,-0.1764,1Y8P
Ligand_0225.pdbqt,-0.1761,1Y8P
Ligand_0047.pdbqt,-0.1752,1Y8P
Ligand_0079.pdbqt,-0.1741,1Y8P
Ligand_0187.pdbqt,-0.174,1Y8P
Ligand_0099.pdbqt,-0.1739,1Y8P
Ligand_0192.pdbqt,-0.1735,1Y8P
Ligand_0130.pdbqt,-0.1732,1Y8P
Ligand_0140.pdbqt,-0.173,1Y8P
Ligand_0220.pdbqt,-0.1727,1Y8P
Ligand_0247.pdbqt,-0.1721,1Y8P
Ligand_0202.pdbqt,-0.1718,1Y8P
Ligand_0136.pdbqt,-0.1716,1Y8P
Ligand_0232.pdbqt,-0.1713,1Y8P
Ligand_0143.pdbqt,-0.1709,1Y8P
Ligand_0076.pdbqt,-0.1707,1Y8P
Ligand_0134.pdbqt,-0.1696,1Y8P
Ligand_0133.pdbqt,-0.1691,1Y8P
Ligand_0006.pdbqt,-0.1691,1Y8P
Ligand_0242.pdbqt,-0.1686,1Y8P
Ligand_0138.pdbqt,-0.1685,1Y8P
Ligand_0101.pdbqt,-0.1684,1Y8P
Ligand_0137.pdbqt,-0.1684,1Y8P
Ligand_0222.pdbqt,-0.1684,1Y8P
